date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:05	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.48a.delayed	(from https://www.duoback.co.kr/goods/catalog?code=00110002)
21:47:05	11305/11305	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:44%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=best&searchLimit=5&category=c00110001&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_listebde.html	(from https://www.duoback.co.kr/goods/catalog?code=00110001)
21:47:05	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.48c.delayed	(from https://www.duoback.co.kr/goods/catalog?code=00110002)
21:47:05	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.48d.delayed	(from https://www.duoback.co.kr/goods/brand_main)
21:47:05	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.48e.delayed	(from https://www.duoback.co.kr/goods/brand_main)
21:47:05	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.48f.delayed	(from https://www.duoback.co.kr/goods/brand_main)
21:47:05	10820/10820	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:45%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=best&searchLimit=5&category=c00110002&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_list8ddb.html	(from https://www.duoback.co.kr/goods/catalog?code=00110002)
21:47:05	42944/42944	---M--	200	added ('OK')	image/jpeg	etag:%22a7c0-5c34b6c9e6260%22	https://www.duoback.co.kr/data/brand/0012_image_1622103595.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/brand/0012_image_1622103595.jpg	(from https://www.duoback.co.kr/goods/brand_main)
21:47:06	33425/33425	---M--	200	added ('OK')	image/jpeg	etag:%228291-5c7872d43818e%22	https://www.duoback.co.kr/data/brand/0006_image_1626758276.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/brand/0006_image_1626758276.jpg	(from https://www.duoback.co.kr/goods/brand_main)
21:47:06	21929/21929	---M--	200	added ('OK')	image/jpeg	etag:%2255a9-5c72335f9d276%22	https://www.duoback.co.kr/data/brand/0005_image_1626328926.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/brand/0005_image_1626328926.jpg	(from https://www.duoback.co.kr/goods/brand_main)
21:47:06	154233/154233	---M--	200	added ('OK')	image/jpeg	etag:%2225a79-5c84c87ad37b5%22	https://www.duoback.co.kr/data/brand/0017_image_1627605902.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/brand/0017_image_1627605902.jpg	(from https://www.duoback.co.kr/goods/brand_main)
21:47:06	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.494.delayed	(from https://www.duoback.co.kr/goods/brand_main)
21:47:07	0/0	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Feb%202022%2012:43:46%20GMT	https://www.duoback.co.kr/link/css?k=quickdesign&v=20220206213734	D:/gowoon/duoback/www.duoback.co.kr/link/cssa32e	(from https://www.duoback.co.kr/goods/brand?code=0012)
21:47:07	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.496.delayed	(from https://www.duoback.co.kr/goods/brand?code=0012)
21:47:07	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.497.delayed	(from https://www.duoback.co.kr/goods/brand?code=0012)
21:47:07	91349/91349	---M--	200	added ('OK')	image/jpeg	etag:%22164d5-5c692e85d44bb%22	https://www.duoback.co.kr/data/editor/9098fe7905c7a7171785d90b095faef61052294.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/editor/9098fe7905c7a7171785d90b095faef61052294.jpg	(from https://www.duoback.co.kr/goods/brand?code=0012)
21:47:08	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.49a.delayed	(from https://www.duoback.co.kr/goods/brand?code=0012)
21:47:08	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.49b.delayed	(from https://www.duoback.co.kr/goods/brand?code=0009)
21:47:08	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.49c.delayed	(from https://www.duoback.co.kr/goods/brand?code=0009)
21:47:08	102694/102694	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:47%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=brand&searchLimit=5&category=&brand[0]=b0012&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_list4bce.html	(from https://www.duoback.co.kr/goods/brand?code=0012)
21:47:08	269667/269667	---M--	200	added ('OK')	image/jpeg	etag:%2241d63-5c69300724acf%22	https://www.duoback.co.kr/data/editor/f33acb1a3182187631715f67045013431059134.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/editor/f33acb1a3182187631715f67045013431059134.jpg	(from https://www.duoback.co.kr/goods/brand?code=0009)
21:47:09	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.49f.delayed	(from https://www.duoback.co.kr/goods/brand?code=0009)
21:47:09	46263/46263	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:48%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=brand&searchLimit=5&category=&brand[0]=b0009&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_list6f89.html	(from https://www.duoback.co.kr/goods/brand?code=0009)
21:47:10	0/0	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Feb%202022%2012:43:49%20GMT	https://www.duoback.co.kr/link/css?k=quickdesign&v=20220206213735	D:/gowoon/duoback/www.duoback.co.kr/link/css3baa	(from https://www.duoback.co.kr/goods/brand?code=0006)
21:47:10	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4a1.delayed	(from https://www.duoback.co.kr/goods/brand?code=0006)
21:47:10	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4a2.delayed	(from https://www.duoback.co.kr/goods/brand?code=0006)
21:47:10	65749/65749	---M--	200	added ('OK')	image/jpeg	etag:%22100d5-5c69317f63078%22	https://www.duoback.co.kr/data/editor/1bcaeae238e22958788ed68209d1aed01105474.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/editor/1bcaeae238e22958788ed68209d1aed01105474.jpg	(from https://www.duoback.co.kr/goods/brand?code=0006)
21:47:10	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4a5.delayed	(from https://www.duoback.co.kr/goods/brand?code=0006)
21:47:10	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4a6.delayed	(from https://www.duoback.co.kr/goods/brand?code=0004)
21:47:10	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4a7.delayed	(from https://www.duoback.co.kr/goods/brand?code=0004)
21:47:10	48807/48807	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:50%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=brand&searchLimit=5&category=&brand[0]=b0006&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_listee1b.html	(from https://www.duoback.co.kr/goods/brand?code=0006)
21:47:11	112228/112228	---M--	200	added ('OK')	image/jpeg	etag:%221b664-5c6936bfa7544%22	https://www.duoback.co.kr/data/editor/df9f17f35680ba1100180488e68141111129174.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/editor/df9f17f35680ba1100180488e68141111129174.jpg	(from https://www.duoback.co.kr/goods/brand?code=0004)
21:47:11	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4aa.delayed	(from https://www.duoback.co.kr/goods/brand?code=0004)
21:47:11	7483/7483	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:50%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=brand&searchLimit=5&category=&brand[0]=b0004&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_list5df7.html	(from https://www.duoback.co.kr/goods/brand?code=0004)
21:47:12	0/0	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Feb%202022%2012:43:51%20GMT	https://www.duoback.co.kr/link/css?k=quickdesign&v=20220206213736	D:/gowoon/duoback/www.duoback.co.kr/link/css6d94	(from https://www.duoback.co.kr/goods/brand?code=0017)
21:47:12	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4ac.delayed	(from https://www.duoback.co.kr/goods/brand?code=0017)
21:47:12	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4ad.delayed	(from https://www.duoback.co.kr/goods/brand?code=0017)
21:47:12	94190/94190	---M--	200	added ('OK')	image/jpeg	etag:%2216fee-5c84c84ee9820%22	https://www.duoback.co.kr/data/editor/d2cf82ac0e048d3236061747a96a87cc0944165.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/editor/d2cf82ac0e048d3236061747a96a87cc0944165.jpg	(from https://www.duoback.co.kr/goods/brand?code=0017)
21:47:13	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4b0.delayed	(from https://www.duoback.co.kr/goods/brand?code=0017)
21:47:13	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4b1.delayed	(from https://www.duoback.co.kr/goods/brand?code=0002)
21:47:13	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.4b2.delayed	(from https://www.duoback.co.kr/goods/brand?code=0002)
21:47:13	9540/9540	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:52%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=brand&searchLimit=5&category=&brand[0]=b0017&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_list92e4.html	(from https://www.duoback.co.kr/goods/brand?code=0017)
